environment <ARG2 <ARG2
as >>> >>>
you >ARG0 >ARG0
'd >ARGM-MOD >ARGM-MOD
imagine <<< <<<
: <<< 
Sergey >>ARG0 >>ARG0
Brin < <
has >> >>
actually >ARGM-ADV >ARGM-ADV
created  
a >> >>
mathematical >ARGM-MNR >ARGM-MNR
' > >
proof <ARG1 <ARG1
' < <
that  
the > >
company > >
's > >
self > >
- > >
driven > >
research > >
strategy >ARG0 >ARG0
, < <
which >R-ARG0 >R-ARG0
gives << <<
employees <ARG2 <ARG2
one > >
day <ARG1 <ARG1
a < <
week < <
to > >
do < <ARGM-PRP
research > >
projects <ARG1 <ARG1
on > >
their > >
own <ARG4 <ARGM-MNR
, > >>
is > >
a > >
good > >
, > >
respectable > >
idea <<<<ARG1 <<<<ARG1
.  

Read  
the > >
entire > >
article <ARG1 <ARG1
; << <<
there > >
's << <<
a > >
punchline <ARG1 <ARG1
, << <<
too <ARGM-ADV <ARGM-ADV
.  

My > >
opinion > >
piece >>>>ARG1 >>>ARG1
on > >
the > >
implications < <
of >> >>
Arafat >ARG1 >ARG1
's < <
passing <ARG0 <ARG0
for > <
al > <
- > >
Qaeda <<ARGM-GOL <
has > >
appeared  
at > >
Newsday <ARGM-LOC <ARGM-LOC
. << <<

Excerpt  
:  

" >> 
Arafat > >
's > >
secular > >
nationalism >ARG1 >ARG1
was > >
supple <ARG2 <ARG2
enough <ARGM-CXN <ARGM-CXN
to > >
compromise <<ARGM-CXN <ARGM-CXN
with > >
Israel <ARG2 <ARG1
and > >
to > >
imagine << <<
a >> >>
two > >
- > >
state >ARG2 >ARG2
solution <ARG1 <ARG1
, <<< 
even >> >>
if >> >>
the > >
road >>ARG1 >>ARG1
of > >
negotiations < <
remained <<<ARGM-ADV <<ARGM-ADV
rocky <ARG3 <ARG3
.  

The >>> >>>
continued >ARGM-ADJ >ARGM-PRD
Israeli >ARG0 >ARG0
colonization >ARG0 >ARG0
of > >
the > >
occupied > >
Palestinian > >
territories <ARG1 <ARG1
during > >
the > >
1990s <ARGM-TMP <ARGM-TMP
helped  
, < <
along >> >>
with >> >>
terrorist >ARGM-ADJ >ARG0
attacks <<ARGM-ADV <ARGM-ADV
by > >
radical > >
groups <ARG0 <ARG0
such < <
as < <
Hamas < <
,  
to > >
derail <<ARG1 <<ARG1
the >> >>
peace >ARG1 >ARG1
process <ARG1 <ARG1
, < <
which >>R-ARG1 >>R-ARG1
Sharon >>ARG0 >>ARG0
had >> >>
always >ARGM-TMP >ARGM-TMP
opposed <<ARGM-ADJ <<ARGM-ADJ
.  

Arafat >ARG1 >ARG1
's < <
death >ARG0 >ARG0
creates  
a > >
vacuum <ARG1 <ARG1
in >> >>
Palestinian >ARG0 >ARG0
leadership << <<
that >>R-ARG1 >>R-ARG1
will >>ARGM-MOD >>ARGM-MOD
not >>ARGM-NEG >>ARGM-NEG
soon >>ARGM-TMP >>ARGM-TMP
be > >
filled  
.  

Sharon >ARG0 >ARG0
's < <
assassination >>ARG0 >>ARG0
of > >
major > >
Hamas > >
leaders <ARG1 <ARG1
has >> >>
also >ARGM-DIS >ARGM-DIS
weakened  
authority > >
structures <ARG1 <ARG1
in < <
that < <
party < <
. << <<

If  
the > >
Israelis >>ARG0 >>ARG0
and >> >>
the >> >>
Palestinian >ARG0 >ARG0
leadership << <<
can >ARGM-MOD >ARGM-MOD
not >ARGM-NEG >ARGM-NEG
find >>>>ARGM-ADV >>ARGM-ADV
a > >
way <ARG1 <ARG1
to > >
reinvigorate <ARG1 <ARG1
the >> >>
peace >ARG1 >ARG1
process <ARG1 <ARG1
, >>> >>>
cells >ARG1 >ARG1
of < <
radical < <
young < <
Palestinians < <
may >ARGM-MOD >ARGM-MOD
grow  
up < <
that >R-ARG0 >R-ARG0
look <C-ARG1 <<
to > >
bin <ARG1 <ARG1
Laden < <
for > >
their > >
cues <ARG2 <ARG2
.  

Even >> >>
if >> >>
local > >
Palestinian > >
leaders >ARG1 >ARG1
remain >>>>>>ARGM-ADV >>>ARGM-ADV
strong >ARG2 <ARG3
enough <<ARG3 <ARGM-CXN
to > >
keep <<ARGM-CXN <ARGM-CXN
al > >
- > >
Qaida <ARG1 <ARG1
out <ARG2 <ARG2
,  
the >>> >>>
festering >ARGM-PRD >ARGM-PRD
Israeli > >
- > >
Palestinian <ARG1 >ARG0
struggle >ARG1 >ARG1
remains  
among > >
the > >
best > >
recruiting > >
posters <ARG3 <ARG3
for < <
al < <
- < <
Qaida < <
with > <
young > <
Muslim > <
men <ARG2 <
. <<< <<

Resolving >>ARG1 >>ARG1
this > >
conflict <ARG1 <ARG1
would >ARGM-MOD >ARGM-MOD
be > >
the > >
most > >
effective > >
weapon <ARG2 <ARG2
the > >
United > >
States >ARG0 >ARG0
could >ARGM-MOD >ARGM-MOD
deploy <<< <<<
in >> >>
its >ARG0 >ARG0
war <ARG2 <ARG2
on > >
terror <ARG2 <ARG1
.  
"  

Xinhua >ARG0 >ARG0
reports  
that >>> >>>
a > >
wide > >
range >ARG0 >ARG0
of < <
Iraqi < <
political < <
forces < <
on > >
Tuesday >ARGM-TMP >ARGM-TMP
condemned <ARG1 <ARG1
Sharon >ARG0 >ARG0
's < <
murder <ARG1 <ARG1
of > >
Sheikh <ARG1 >
Ahmed < <ARG1
Yassin < <
, < <
a < <
religious < <
leader < <
of < <
Hamas < <
, << <<<
the > >
day <ARGM-TMP <ARGM-TMP
before < <
.  

The > >
Board >ARG0 >ARG0
of < <
Muslim < <
clerics < <
in < <
Fallujah < <
, < <
50  <
km < <
west < <
of  
Baghdad < <
, < >
" > >
condemned  
the > >
assassination <ARG1 <ARG1
and > >
promised << <<
immediate > >
revenge <ARG2 <ARG2
against < <
the < <
coalition < <
soldiers < <
in < <
Iraq < <
. <<< 
" <<< 

Ash >ARG0 >ARG0
- < <
Sharq < <
al < <
- < <
Awsat < <
reports  
that >> >>
Fallujah >>ARG1 >>ARG1
was > >
closed <<ARG1 <<ARG1
Tuesday <ARGM-TMP <<ARGM-TMP
in >> >>
a >> >>
general >ARGM-ADJ >ARGM-ADJ
strike <ARGM-CAU <ARGM-MNR
.  

US > >
troops >ARG0 >ARG0
there < <
clashed  
with > >
guerrillas <ARG1 <ARG1
in > >
a > >
fight <ARGM-ADV <ARGM-LOC
that >R-ARG0 >R-ARG0
left <ARGM-ADJ <ARGM-ADJ
one > >
Iraqi <ARG1 <ARG1
dead <ARG1 <ARG1
.  

In > >
Ramadi >ARGM-LOC >ARGM-LOC
, > >
there > >
was  
a >> >>
big >ARGM-ADJ >ARGM-ADJ
demonstration <ARG1 <ARG1
. <<< <<<

Radical > >
Shiite > >
cleric > >
Muqtada >ARG0 >ARG0
al < <
- < <
Sadr < <
said  
the > >
attack >ARG1 >ARG1
was > >
" > >
criminal <<<ARG1 <<<ARG1
" < <
and >> >>
that >> >>
" >> >>
the > >
Zionists >>ARG0 >>ARG0
have > >
left << <<
only >ARGM-ADJ >
one > >
choice <ARG1 <ARG1
for > >
the > >
Arabs <ARG0 <<ARG2
, << <
that <ARG2 <ARGM-ADJ
of > >
fighting < <
and < <
jihad < <
"  
.  

The > >
interim > >
Governing > >
Council >ARG0 >ARG0
issued  
a > >
communique <ARG1 <ARG1
saying < <ARG1
, < <
" < <
It >ARG1 >ARG1
is > >
a > >
proof <<ARG1 <<ARG1
of > >
the > >
emptiness <ARG1 <ARG1
of < <
the < <
Israeli < <
authority < <
and > >
a > >
destruction < <<
of >> >>
the >> >>
peace >ARG1 >ARG1
endeavors <ARG1 <ARG1
in > >
the > >
region <ARGM-LOC <ARGM-LOC
.  
.  
.  

This > >
operation >ARG0 >ARG0
would >ARGM-MOD >ARGM-MOD
only >ARGM-ADV >ARGM-ADV
consolidate >>>ARG1 
the > >
terrorist > >
acts <ARG1 <ARG1
in < <
the < <
world < <
and >>> >>>
would >ARGM-MOD >ARGM-MOD
not >ARGM-NEG >ARGM-NEG
bring  
peace <ARG1 <ARG1
to > >
the > >
region <<ARG2 <<ARG2
, >> >>
" >> >>
the > >
message >ARG0 >ARG0
claimed  
. < <

Xinhua >ARG0 >ARG0
alleged  
that  
"  
Many >>>ARG0 >>ARG0
of > >
the > >
Iraqis >ARG0 >ARG0
, < <
who >R-ARG0 >R-ARG0
suffer << <<
the >> >>
American >ARG0 >ARG0
occupation <ARG1 <ARG1
of > >
Iraq <ARG1 <ARG1
, > >
relate <<<ARG1 <<<ARG1
their >ARG0 >ARG0
case <ARG1 <ARG1
with > >
that <<ARG2 <<ARG2
of < <
the < <
Palestinian < <
people < <
, < <
under >> >>
the >> >>
Israeli >ARG0 >ARG0
occupation << <<
.  
"  

In > >
an > >
apparently > >
unrelated > >
incidents >>ARGM-ADV >>ARGM-ADV
, >> >>
some > >
eleven > >
Iraqis >>ARG1 >>ARG1
were > >
killed  
by > >
snipers <ARG0 <ARG0
on > >
Tuesday <ARGM-TMP <ARGM-TMP
, <<< <<<
including > >
a > >
group <C-ARG1 <ARGM-ADV
of < <
police < <
trainees < <
in < <
a < <
bus < <
near < <
Hilla < <
and < <
two < <
police < <
in < <
Kirkuk < <
.  

Ever > >>
since > >>
the > >
first > >ARG0
whispers >>ARGM-TMP >>ARGM-TMP
about < >>
Google < >ARG1
's < <
IPO < <ARG1
, >> >>
most > >
investors >>ARG0 >>ARG0
have > >
feared  
that >>> >>>
the > >
stock >ARG1 >ARG1
would >ARGM-MOD >ARGM-MOD
come <ARG1 <ARG1
public <ARG2 <ARG4
at >> >>
such >> >
a >> >>
ridiculously > >
high >ARGM-ADJ >ARGM-ADJ
price <ARGM-PRD <ARGM-MNR
that  
,  
even >>> >>>
with >>> >>>
a >>> >>>
spectacularly > >>
profitable >ARGM-ADJ >>
business >ARG1 >ARG1
model >>>ARGM-ADV >>ARGM-ADV
and >> >>
some >> >>
nearly > >
flawless >ARGM-ADJ >ARGM-ADJ
execution << <<<
,  >>>
the > >
price >ARG1 >ARG1
would >ARGM-MOD >ARGM-MOD
be >> >>
too >ARGM-CXN >ARGM-CXN
high <ARG2 <ARG2
for >> >>
investors >>ARG0 >>ARG0
to > >
make <C-ARGM-CXN <C-ARGM-CXN
a >> >>
real >ARGM-ADJ >ARGM-ADJ
profit <ARGM-PRR <ARGM-PRR
.  

We >>ARG0 >>ARG1
've > >
moved  
on < <ARGM-DIR
. < <

We >>ARG1 >>ARG1
've > >
grown  
up < <
. < <

Now >ARGM-TMP >ARGM-TMP
, >> >>
people >ARG0 >ARG0
wonder  
if  
Google >ARG0 >ARG0
can >ARGM-MOD >ARGM-MOD
even >ARGM-ADV >ARGM-ADV
survive <ARG1 <ARG1
.  

That >ARG1 >>ARG0
's > >
overstating <ARG2 
it <ARG1 <ARG1
, >> <<
I >ARG0 >ARG0
know  <<<
. < <<<

What >ARG1 >ARG1
they >ARG0 >ARG0
wonder << <<
is  
whether >>> >>>
Google >ARG1 >ARG1
can >ARGM-MOD >ARGM-MOD
be > >
anything <<ARG2 <<ARG2
more < <
than > >
what >>ARG2 >>ARG2
it >>ARG1 >>ARG1
's > >>
always >ARGM-TMP >ARGM-TMP
been < <<<
-- <<< <<<
a <<< >
great <<< >
search <<< >
engine <<< <<<
with >>> 
some >>> >>>
real >ARGM-ADJ >ARGM-ADJ
grass > >
- > >
roots >ARG0 >ARGM-ADJ
support  <<<
,  <<<
successful  <<<
by  >
the  >
grace  <ARG0
of  <
simplicity  <
.  

Simplicity >ARG0 >ARG0
gave  
it <ARG2 <ARG2
that >>> >>>
blessed >ARGM-ADJ >ARGM-PRD
, >> >>
laudatory >ARGM-ADJ >ARGM-ADJ
lack <ARG1 <ARG1
of > >
clutter <ARG1 <ARG1
, >> 
the >> >>>
efficient >> >>>
and >> >>
effective >> <
text >ARG2 >ARG2
- > >
based > >
ads <ARG1 <<ARG1
, > >
and > >
the > >
support  
of > >
anyone <ARG0 <ARG1
with >>> >>
a >>> >>
dial >ARG3 >
- < >
up <ARGM-PRD >ARGM-MNR
connection <ARG1 <<
.  

The > >
problem >ARG1 >ARG1
is  
that >>> 
customers >ARG1 >ARG1
attracted < <
by > >
a > >
simple > >
interface <ARG0 <ARG0
are > >
among > >
the > >
least > >
loyal <<<ARG2 <<ARG2
you >ARG0 >ARG0
can >ARGM-MOD >ARGM-MOD
find <<< <<<
--  
witness  
the > >
fight <ARG1 <ARG1
- < <
for > >
- > >
fewest > >
- > >
features <ARG2 <ARG2
between > >
low > >
- > >
end > >
camera > >
companies <ARG0 <ARG0
.  

The  
other  
problem  
?  

It > >
's > >
tough <ARG2 <ARG2
to > >
make <<ARG1 <<ARG1
money <ARG1 <ARG1
branching <ARG2 <ARG2
out < <
when >>ARGM-TMP >>ARGM-TMP
your >ARG0 >ARG0
appeal >ARG1 >ARG1
is > >
in > >
your > >
focus <ARG2 <<<ARGM-TMP
.  

As  
the > >
survey >ARG1 >ARG1
cited <ARGM-PRD <ARGM-PRD
in >> >>
the >> >>
above >ARGM-LOC >ARGM-LOC
- > >
linked > >
article <<ARGM-LOC <ARGM-LOC
shows >>ARGM-ADV >>>ARGM-ADV
, >>> >>>
most > >
Google > >
users >>ARG0 >>ARG0
do >> >>
n't >ARGM-NEG >ARGM-NEG
intend  
to > >
use <ARG1 <ARG1
Gmail <ARG1 <ARG1
,  
and  
Google >ARG1 >ARG1
is  >>>
n't <ARGM-NEG <ARGM-NEG
even <ARGM-ADV <ARGM-ADV
as >ARGM-CXN >ARGM-CXN
popular <ARG2 <ARG2
as > >
Yahoo! <C-ARGM-CXN <C-ARGM-CXN
and < <
AOL < <
.  

If >> >>
they >ARG0 >ARG0
continue >>>ARGM-ADV >>>ARGM-ADV
to > >
add <ARG1 <ARG1
features <ARG1 <ARG1
so >>> >>>
they >ARG0 >ARG0
can >ARGM-MOD >ARGM-MOD
justify <ARGM-PRP <ARGM-PRP
their > >
likely > >
sky > >
- > >
high > >
valuation <ARG1 <ARG1
, >> >>
Google >ARG0 >ARG0
risks  
losing <ARG1 <ARG1
a > >
huge > >
chunk <ARG1 <ARG1
of < <
their < <
customer < <
base < <
to >>> >
the >>> >
next >>> >
keep >>> >>
- < <
it <ARG1 <ARG1
- << >
simple <ARG2 <ARG2
search > >
engine <<<ARG2 <<ARG2
.  

Remember  
when >> >>
a > >
whole > >
lot >>ARG1 >>ARG1
of < <
people < <
had <ARG1 <ARG1
to > >
die < <
because >> >>
a > >
Swedish > >
newspaper >ARG0 >ARG0
printed <ARGM-CAU <ARGM-CAU
those > >
cartoons <ARG1 <ARG1
of < <
the < <
Prophet < <
Mohammed < <
?  

Now >ARGM-TMP >ARGM-TMP
Iran >ARG0 >ARG0
wants  
to > >
turn <ARG1 <ARG1
the > >
tables <ARG1 <ARG1
and > >
is > >
inviting <<< <<<
cartoonists <ARG1 <ARG1
to > >
do <ARG2 <ARG2
their > >
best <ARG1 <ARG1
by > >
depicting <ARGM-MNR <ARG2
the > >
Holocaust <ARG1 <ARG1
.  

Amazingly >ARGM-ADV >ARGM-ADV
, >> >>
these > >
idiots >ARG0 >ARG0
think  
a > >
cartoon >ARG1 >ARG1
of < <
Mohammed < <
is > >
comparable <<ARG1 <<ARG1
to > >
what <ARG2 <ARG2
we >ARG0 >ARG0
can >ARGM-MOD >ARGM-MOD
expect <<< <<<
in >>> >>
this >>> >>
new >ARGM-ADJ >ARGM-ADJ
fun >ARGM-ADJ >ARGM-ADJ
contest <ARGM-LOC <ARGM-LOC
:  

TEHRAN  
(  
AFP  
)  
-  

An >> >>
international >ARGM-LOC >ARGM-ADJ
contest >ARG1 >ARG1
of > >
cartoons <ARG2 <ARG2
on < <
the < <
Holocaust < <
opened  
in > >
Tehran <ARGM-LOC <ARGM-LOC
in > >
response <ARGM-CAU <ARGM-CAU
to > >
the > >
publication <ARG1 <ARG1
in > >
Western > >
papers <ARGM-LOC <ARGM-LOC
last > >
September <ARGM-TMP <ARGM-TMP
of > >
caricatures <ARG1 <ARG1
of < <
the < <
Prophet < <
Mohammed < <
.  

"  
We >ARG0 >ARG0
staged >>>>ARG1 >>>ARG1
this > >
fair <ARG1 <ARG1
to > >
explore <ARGM-PRP <ARGM-PRP
the > >
limits <ARG1 <ARG1
of > >
freedom <ARG1 <ARG1
Westerners >ARG0 >ARG0
believe << <<
in <C-ARG1 <C-ARG1
, >> >>
" >> >>
Masoud >ARG0 >ARG0
Shojai < <
, < <
head < <
of < <
the  
country < 
's  
"  
Iran  
Cartoon < 
"  
association < <
and < <
the < <
fair < <
organizer < <<
, > >
said  
. < <

"  
They >ARG0 >ARG0
can >ARGM-MOD >ARGM-MOD
freely >ARGM-ADV >ARGM-MNR
write >>>>>>>ARG1 
anything <ARG1 <ARG1
they >ARG0 >ARG0
like << <<
about << >
our << >
prophet << <C-ARG1
,  
but  
if >> >>
one >ARG0 >ARG0
raises >>>ARGM-ADV >>>ARGM-ADV
doubts <ARG1 <ARG1
about > >
the > >
Holocaust <ARG1 <ARG1
he >>ARG2 >>ARG1
is > >
either > >
fined  
or > >
sent < <
to > >
prison <ARG2 <ARG2
, >> >>
" >> >>
he >ARG0 >ARG0
added  
. < <

"  
Though >>> >>>
we >>ARG0 >>ARG0
do >> >>
not >ARGM-NEG >ARGM-NEG
deny  >>>ARGM-ADV
that > >
fact <ARG1 <ARG1
that >> >>
Jews >>ARG1 >>ARG1
were > >
killed << <<
in > >>
the > >>
( > >>
second > >
world > >ARG0
) > >
war <ARGM-TMP <ARGM-TMP
,  
why >ARGM-CAU >ARGM-CAU
should >ARGM-MOD >ARGM-MOD
the > >
Palestinians >ARG0 >ARG0
pay  
for > >
it <ARG3 <ARG3
? << <<
" << <<

Shojai >ARG0 >ARG0
told  
the > >
opening > >
ceremony <ARG2 <ARG2
of < >
the < >
month < >
- < >
long < >
fair < <ARG1
in < >
Tehran < >
's  >
Palestine < >
Contemporary  >
Art < >
Museum < <ARGM-LOC
. << 

He >ARG0 >ARG0
added  
that >> >>
around > >
1,100 > >
cartoons >>ARG1 >>ARG1
were > >
submitted <<ARG1 <<ARG1
by > >
participants <ARG0 <ARG0
from < <
more < <
than  <
60 < <
countries < <
and >> >>
that >> >>
more > >
than > >
200 >ARG1 >ARG1
are > >
on > >
show <ARG2 <ARG2
.  

He >ARG0 >ARG0
said  
the > >
top > >
three > >
cartoons >>ARG1 >>ARG1
will >>ARGM-MOD >>ARGM-MOD
be > >
announced <<ARG1 <<ARG1
on > >
September <ARGM-TMP <ARGM-TMP
2 < <
, << <<
with >> >>
the > >
winners >>ARG2 >>ARG2
being > >
awarded <<ARGM-ADV <<ARGM-ADV
prizes <ARG1 <ARG1
of < <
12,000 < <
,  
8,000 < <
and  
5,000 < <
dollars < <
respectively < <ARGM-ADV
.  

This >>> >>
cute >ARGM-ADJ >
little >ARGM-ADJ >
stunt >>>ARG0 >>>ARG0
is > >
only > >
going  
to > >
prove < <
just > >
how > >
fanatic <ARG1 <ARG1
the > >
extremist > >
Muslims >ARG1 >ARG1
are << <<
. <<< <<<

When >ARGM-TMP >ARGM-TMP
they >ARG0 >ARG0
saw >>> >>ARGM-TMP
a > >
cartoon <ARG1 <ARG1
of < <
their < <
prophet < <
, >> >>
people >>ARG1 >>ARG1
had  
to > >
die < <
. < <

When >>ARGM-TMP >>ARGM-TMP
their > >
precious > >
cartoons >>ARG1 >>ARG1
are > >
released >ARGM-TMP >ARGM-TMP
I >ARG0 >ARG0
highly >ARGM-EXT >ARGM-EXT
doubt  
it >ARG0 >ARG0
will >ARGM-MOD >ARGM-MOD
look <ARG1 <ARG1
like > >
the > >
end <ARG1 <ARG1
of > >
the > >
world <ARG1 <ARG1
.  

US > >
Marines >ARG1 >ARG1
moved  
into > >
most <ARG2 <ARG2
of < <
Fallujah < <
on > >
Wednesday <ARGM-TMP <ARGM-TMP
, <<< <<<
though >>> >>>
they >>ARG0 >>ARG0
were >> >>
still >ARGM-TMP >ARGM-TMP
meeting <<ARGM-ADV <<ARGM-ADV
pockets <ARG1 <ARG1
of > >
resistance < <
.  

The >> >>
Fallujah >ARGM-LOC >ARG0
fighting >>ARG0 >>ARG0
has > >
killed  
fair > >
numbers <ARG1 <ARG1
of < <
Iraqi < <
noncombatants < <
, < <
including < <
Shaikh < <
Abdul < <
Wahhab < <
al < <
- < <
Janabi < <
of < <
the < <
respected < 
Association < <
of  
Muslim  
Scholars < <
. << <<

